id,t,x,y,v_x,v_y,a_x,a_y
0,1.1166666666666667,10.877689110859905,10.323442500676872,4.601712740123333,1.8342825244679843,10.707019015501109,5.215904443558212
0,1.1333333333333333,10.955860963596562,10.354734161848468,4.778909588275668,1.9207168161233699,10.631810889140095,5.186057499323128
0,1.15,11.03697523993399,10.3874620484836,4.9548035722157255,2.006629580092562,10.553639036403437,5.154765838151532
0,1.1666666666666667,11.121009816798706,10.421617268978409,5.129345651550159,2.091996879284502,10.472524760066008,5.1220379515164
0,1.1833333333333333,11.207941756849987,10.45719053401246,5.302487154603514,2.176794924801529,10.388490183201293,5.087882731021591
0,1.2,11.297747314738261,10.494172159073873,5.474179791989347,2.2610000825679877,10.301558243150012,5.05230946598754
0,1.2166666666666666,11.390401943588815,10.532690955983469,5.644375670077043,2.3612555465834233,10.211752685261738,6.015327840926127
0,1.2333333333333334,11.485880301709045,10.572875327460418,5.8130273043505625,2.4608690306503656,10.119098056411184,5.976809044016531
0,1.25,11.584156259517428,10.61471434250911,5.980087632655412,2.559812775192692,10.023619698290954,5.936624672539582
0,1.2666666666666666,11.685202906692307,10.65819660899253,6.145510028330121,2.65805920281754,9.925343740482571,5.89478565749089
0,1.2833333333333334,11.788992559538546,10.703310276732685,6.309248313218583,2.755580926000998,9.824297093307692,5.8513033910074705
0,1.3,11.89549676857003,10.75004304073871,6.471256770559607,2.85235075472212,9.720507440461454,5.806189723267315
0,1.3166666666666667,12.004686326305945,10.798382144561753,6.631490157750106,2.948341704043141,9.614003231429969,5.75945695926129
0,1.3333333333333333,12.116670164167571,10.848314383775728,6.806570385645006,3.0435270016337785,10.504813673694054,5.711117855438247
0,1.35,12.231556452516632,10.899826109582989,6.979784216242214,3.1378800952375165,10.392829835832428,5.661185616224272
0,1.3666666666666667,12.349313681613374,10.95290323254395,7.151083275366937,3.2313746600778,10.277943547483368,5.609673890417011
0,1.3833333333333333,12.470048428747043,11.007531226429615,7.337086380673381,3.3239846062020675,11.160186318386625,5.556596767456051
0,1.4,12.59386645892094,11.063695132195978,7.521077240194264,3.415684085761574,11.039451571252956,5.501968773570385
0,1.4166666666666667,12.72073380647155,11.121379562079198,7.703004465878915,3.5064475002249744,10.915633541079059,5.445804867804022
0,1.4333333333333333,12.8506156539853,11.180568703810437,7.882817235771056,3.5962495075236545,10.78876619352845,5.388120437920802
0,1.45,12.983476341851762,11.241246324949191,8.060465308204634,3.6850650291268137,10.6588843460147,5.328931296189563
0,1.4666666666666666,13.119279378052138,11.30339577733395,8.235899035840438,3.772869257044327,10.526023658148237,5.268253675050809
0,1.4833333333333334,13.258126337069193,11.36686111276006,8.425736046206236,3.8429709940887613,11.390220621947861,4.20610422266605
0,1.5,13.400117961959149,11.431485995840323,8.613258940588416,3.9120149755427605,11.251373662930806,4.142638887239941
